Photon Energy (eV),Absorption Intensity
79.5364,0.080386992
79.6049,0.080449275
79.6734,0.08050746
79.7419,0.08056972
79.8104,0.080627876
79.8789,0.080690111
79.9475,0.080748335
80.016,0.080810547
80.0845,0.080868645
80.153,0.080930832
80.2215,0.080988902
80.29,0.081051065
80.3585,0.081109106
80.427,0.081171245
80.4955,0.081229257
80.564,0.081291372
80.6325,0.081349355
80.701,0.081411446
80.7695,0.081473526
80.838,0.081531467
80.9065,0.081593524
80.9751,0.081651533
81.0436,0.081713565
81.1121,0.081775587
81.1806,0.081833457
81.2491,0.081895455
81.3176,0.081953297
81.3861,0.082015271
81.4546,0.082077234
81.5231,0.082135034
81.5916,0.082196973
81.6601,0.082254744
81.7286,0.08231666
81.7971,0.082378565
81.8656,0.082436294
81.9342,0.082498271
82.0027,0.082560142
82.0712,0.082617829
82.1397,0.082679676
82.2082,0.082741512
82.2767,0.082799158
82.3452,0.08286097
82.4137,0.082922772
82.4822,0.082980375
82.5507,0.083042153
82.6192,0.083103921
82.6877,0.083161483
82.7562,0.083223227
82.8247,0.08328496
82.8932,0.08334248
82.9618,0.083404286
83.0303,0.083465985
83.0988,0.083527673
83.1673,0.083585138
83.2358,0.083646803
83.3043,0.083708457
83.3728,0.083765881
83.4413,0.083827512
83.5098,0.083889132
83.5783,0.083950741
83.6468,0.08400811
83.7153,0.084069696
83.7838,0.084131272
83.8523,0.084192836
83.9208,0.084250151
83.9894,0.084311788
84.0579,0.084373319
84.1264,0.084434839
84.1949,0.084492099
84.2634,0.084553596
84.3319,0.084615082
84.4004,0.084676558
84.4689,0.084738023
84.5374,0.084795215
84.6059,0.084856657
84.6744,0.084918088
84.7429,0.084979509
84.8114,0.085040919
84.8799,0.085098045
84.9485,0.085159527
85.017,0.085220903
85.0855,0.085282269
85.154,0.085343625
85.2225,0.08540497
85.291,0.085462014
85.3595,0.085523336
85.428,0.085584647
85.4965,0.085645947
85.565,0.085707238
85.6335,0.085768517
85.702,0.085825482
85.7705,0.085886738
85.839,0.085947984
85.9075,0.08600922
85.9761,0.08607054
86.0446,0.086131755
86.1131,0.086192959
86.1816,0.086249831
86.2501,0.086311012
86.3186,0.086372182
86.3871,0.086433342
86.4556,0.086494492
86.5241,0.086555631
86.5926,0.08661676
86.6611,0.086677879
86.7296,0.086738987
86.7981,0.08679574
86.8666,0.086856825
86.9351,0.086917899
87.0037,0.086979059
87.0722,0.087040113
87.1407,0.087101156
87.2092,0.087162189
